,Date,State,Positive_Cases
0,02/28/2020,Washington,9.0
1,02/29/2020,Washington,18.0
2,03/01/2020,Michigan,9.0
3,03/01/2020,Rhode Island,1.0
4,03/01/2020,Washington,30.0
5,03/02/2020,Michigan,18.0
6,03/02/2020,Rhode Island,1.0
7,03/02/2020,Washington,34.0
8,03/03/2020,Michigan,34.0
9,03/03/2020,Rhode Island,2.0
10,03/03/2020,Washington,58.0
11,03/04/2020,Arizona,2.0
12,03/04/2020,California,53.0
13,03/04/2020,Florida,2.0
14,03/04/2020,Georgia,2.0
15,03/04/2020,Illinois,4.0
16,03/04/2020,Massachusetts,2.0
17,03/04/2020,Michigan,52.0
18,03/04/2020,North Carolina,1.0
19,03/04/2020,New Hampshire,2.0
20,03/04/2020,New York,6.0
21,03/04/2020,Oregon,3.0
22,03/04/2020,Rhode Island,2.0
23,03/04/2020,South Carolina,0.0
24,03/04/2020,Texas,1.0
25,03/04/2020,Washington,76.0
26,03/04/2020,Wisconsin,1.0
27,03/05/2020,Arizona,2.0
28,03/05/2020,California,53.0
29,03/05/2020,Colorado,0.0
30,03/05/2020,District of Columbia,0.0
31,03/05/2020,Florida,9.0
32,03/05/2020,Georgia,2.0
33,03/05/2020,Illinois,5.0
34,03/05/2020,Massachusetts,2.0
35,03/05/2020,Maryland,0.0
36,03/05/2020,Michigan,72.0
37,03/05/2020,North Carolina,1.0
38,03/05/2020,Nebraska,0.0
39,03/05/2020,New Hampshire,2.0
40,03/05/2020,New Jersey,1.0
41,03/05/2020,Nevada,1.0
42,03/05/2020,New York,22.0
43,03/05/2020,Ohio,0.0
44,03/05/2020,Oregon,3.0
45,03/05/2020,Rhode Island,2.0
46,03/05/2020,South Carolina,0.0
47,03/05/2020,Tennessee,1.0
48,03/05/2020,Texas,1.0
49,03/05/2020,Virginia,0.0
50,03/05/2020,Washington,96.0
51,03/05/2020,Wisconsin,1.0
52,03/06/2020,Alaska,0.0
53,03/06/2020,Arkansas,0.0
54,03/06/2020,Arizona,3.0
55,03/06/2020,California,60.0
56,03/06/2020,Colorado,2.0
57,03/06/2020,District of Columbia,0.0
58,03/06/2020,Delaware,0.0
59,03/06/2020,Florida,9.0
60,03/06/2020,Georgia,2.0
61,03/06/2020,Iowa,0.0
62,03/06/2020,Illinois,5.0
63,03/06/2020,Indiana,1.0
64,03/06/2020,Kansas,0.0
65,03/06/2020,Kentucky,0.0
66,03/06/2020,Massachusetts,8.0
67,03/06/2020,Maryland,3.0
68,03/06/2020,Michigan,98.0
69,03/06/2020,Minnesota,0.0
70,03/06/2020,North Carolina,2.0
71,03/06/2020,Nebraska,0.0
72,03/06/2020,New Hampshire,2.0
73,03/06/2020,New Jersey,1.0
74,03/06/2020,New Mexico,0.0
75,03/06/2020,Nevada,1.0
76,03/06/2020,New York,33.0
77,03/06/2020,Ohio,0.0
78,03/06/2020,Oregon,3.0
79,03/06/2020,Pennsylvania,2.0
80,03/06/2020,Rhode Island,3.0
81,03/06/2020,South Carolina,0.0
82,03/06/2020,Tennessee,1.0
83,03/06/2020,Texas,5.0
84,03/06/2020,Virginia,0.0
85,03/06/2020,Vermont,0.0
86,03/06/2020,Washington,149.0
87,03/06/2020,Wisconsin,1.0
88,03/06/2020,West Virginia,0.0
89,03/07/2020,Alaska,0.0
90,03/07/2020,Alabama,0.0
91,03/07/2020,Arkansas,0.0
92,03/07/2020,Arizona,5.0
93,03/07/2020,California,69.0
94,03/07/2020,Colorado,8.0
95,03/07/2020,Connecticut,0.0
96,03/07/2020,District of Columbia,0.0
97,03/07/2020,Delaware,0.0
98,03/07/2020,Florida,14.0
99,03/07/2020,Georgia,6.0
100,03/07/2020,Hawaii,1.0
101,03/07/2020,Iowa,0.0
102,03/07/2020,Idaho,0.0
103,03/07/2020,Illinois,6.0
104,03/07/2020,Indiana,1.0
105,03/07/2020,Kansas,0.0
106,03/07/2020,Kentucky,1.0
107,03/07/2020,Louisiana,0.0
108,03/07/2020,Massachusetts,13.0
109,03/07/2020,Maryland,3.0
110,03/07/2020,Maine,0.0
111,03/07/2020,Michigan,128.0
112,03/07/2020,Minnesota,1.0
113,03/07/2020,Missouri,0.0
114,03/07/2020,Mississippi,0.0
115,03/07/2020,Montana,0.0
116,03/07/2020,North Carolina,2.0
117,03/07/2020,North Dakota,0.0
118,03/07/2020,Nebraska,1.0
119,03/07/2020,New Hampshire,2.0
120,03/07/2020,New Jersey,4.0
121,03/07/2020,New Mexico,0.0
122,03/07/2020,Nevada,1.0
123,03/07/2020,New York,76.0
124,03/07/2020,Ohio,0.0
125,03/07/2020,Oklahoma,1.0
126,03/07/2020,Oregon,7.0
127,03/07/2020,Pennsylvania,4.0
128,03/07/2020,Rhode Island,2.0
129,03/07/2020,South Carolina,2.0
130,03/07/2020,South Dakota,0.0
131,03/07/2020,Tennessee,1.0
132,03/07/2020,Texas,8.0
133,03/07/2020,Utah,1.0
134,03/07/2020,Virginia,0.0
135,03/07/2020,Vermont,0.0
136,03/07/2020,Washington,181.0
137,03/07/2020,Wisconsin,1.0
138,03/07/2020,West Virginia,0.0
139,03/07/2020,Wyoming,0.0
140,03/08/2020,Alaska,0.0
141,03/08/2020,Alabama,0.0
142,03/08/2020,Arkansas,0.0
143,03/08/2020,Arizona,5.0
144,03/08/2020,California,88.0
145,03/08/2020,Colorado,8.0
146,03/08/2020,Connecticut,1.0
147,03/08/2020,District of Columbia,1.0
148,03/08/2020,Delaware,0.0
149,03/08/2020,Florida,17.0
150,03/08/2020,Georgia,7.0
151,03/08/2020,Hawaii,1.0
152,03/08/2020,Iowa,0.0
153,03/08/2020,Idaho,0.0
154,03/08/2020,Illinois,6.0
155,03/08/2020,Indiana,2.0
156,03/08/2020,Kansas,1.0
157,03/08/2020,Kentucky,1.0
158,03/08/2020,Louisiana,0.0
159,03/08/2020,Massachusetts,13.0
160,03/08/2020,Maryland,3.0
161,03/08/2020,Maine,0.0
162,03/08/2020,Michigan,168.0
163,03/08/2020,Minnesota,1.0
164,03/08/2020,Missouri,1.0
165,03/08/2020,Mississippi,0.0
166,03/08/2020,Montana,0.0
167,03/08/2020,North Carolina,2.0
168,03/08/2020,North Dakota,0.0
169,03/08/2020,Nebraska,1.0
170,03/08/2020,New Hampshire,4.0
171,03/08/2020,New Jersey,6.0
172,03/08/2020,New Mexico,0.0
173,03/08/2020,Nevada,1.0
174,03/08/2020,New York,105.0
175,03/08/2020,Ohio,0.0
176,03/08/2020,Oklahoma,1.0
177,03/08/2020,Oregon,14.0
178,03/08/2020,Pennsylvania,6.0
179,03/08/2020,Rhode Island,3.0
180,03/08/2020,South Carolina,2.0
181,03/08/2020,South Dakota,0.0
182,03/08/2020,Tennessee,3.0
183,03/08/2020,Texas,8.0
184,03/08/2020,Utah,1.0
185,03/08/2020,Virginia,2.0
186,03/08/2020,Vermont,1.0
187,03/08/2020,Washington,246.0
188,03/08/2020,Wisconsin,1.0
189,03/08/2020,West Virginia,0.0
190,03/08/2020,Wyoming,0.0
191,03/09/2020,Alaska,0.0
192,03/09/2020,Alabama,0.0
193,03/09/2020,Arkansas,0.0
194,03/09/2020,Arizona,5.0
195,03/09/2020,California,114.0
196,03/09/2020,Colorado,9.0
197,03/09/2020,Connecticut,1.0
198,03/09/2020,District of Columbia,1.0
199,03/09/2020,Delaware,0.0
200,03/09/2020,Florida,18.0
201,03/09/2020,Georgia,12.0
202,03/09/2020,Hawaii,2.0
203,03/09/2020,Iowa,3.0
204,03/09/2020,Idaho,0.0
205,03/09/2020,Illinois,7.0
206,03/09/2020,Indiana,2.0
207,03/09/2020,Kansas,1.0
208,03/09/2020,Kentucky,4.0
209,03/09/2020,Louisiana,1.0
210,03/09/2020,Massachusetts,41.0
211,03/09/2020,Maryland,5.0
212,03/09/2020,Maine,0.0
213,03/09/2020,Michigan,254.0
214,03/09/2020,Minnesota,2.0
215,03/09/2020,Missouri,1.0
216,03/09/2020,Mississippi,0.0
217,03/09/2020,Montana,0.0
218,03/09/2020,North Carolina,2.0
219,03/09/2020,North Dakota,0.0
220,03/09/2020,Nebraska,3.0
221,03/09/2020,New Hampshire,4.0
222,03/09/2020,New Jersey,11.0
223,03/09/2020,New Mexico,0.0
224,03/09/2020,Nevada,1.0
225,03/09/2020,New York,142.0
226,03/09/2020,Ohio,3.0
227,03/09/2020,Oklahoma,1.0
228,03/09/2020,Oregon,14.0
229,03/09/2020,Pennsylvania,10.0
230,03/09/2020,Rhode Island,3.0
231,03/09/2020,South Carolina,7.0
232,03/09/2020,South Dakota,0.0
233,03/09/2020,Tennessee,3.0
234,03/09/2020,Texas,12.0
235,03/09/2020,Utah,1.0
236,03/09/2020,Virginia,3.0
237,03/09/2020,Vermont,1.0
238,03/09/2020,Washington,343.0
239,03/09/2020,Wisconsin,1.0
240,03/09/2020,West Virginia,0.0
241,03/09/2020,Wyoming,0.0
242,03/10/2020,Alaska,0.0
243,03/10/2020,Alabama,0.0
244,03/10/2020,Arkansas,0.0
245,03/10/2020,Arizona,6.0
246,03/10/2020,California,133.0
247,03/10/2020,Colorado,12.0
248,03/10/2020,Connecticut,2.0
249,03/10/2020,District of Columbia,5.0
250,03/10/2020,Delaware,0.0
251,03/10/2020,Florida,19.0
252,03/10/2020,Georgia,17.0
253,03/10/2020,Hawaii,2.0
254,03/10/2020,Iowa,8.0
255,03/10/2020,Idaho,0.0
256,03/10/2020,Illinois,19.0
257,03/10/2020,Indiana,6.0
258,03/10/2020,Kansas,1.0
259,03/10/2020,Kentucky,6.0
260,03/10/2020,Louisiana,1.0
261,03/10/2020,Massachusetts,92.0
262,03/10/2020,Maryland,6.0
263,03/10/2020,Maine,0.0
264,03/10/2020,Michigan,358.0
265,03/10/2020,Minnesota,3.0
266,03/10/2020,Missouri,1.0
267,03/10/2020,Mississippi,0.0
268,03/10/2020,Montana,0.0
269,03/10/2020,North Carolina,7.0
270,03/10/2020,North Dakota,0.0
271,03/10/2020,Nebraska,3.0
272,03/10/2020,New Hampshire,4.0
273,03/10/2020,New Jersey,15.0
274,03/10/2020,New Mexico,0.0
275,03/10/2020,Nevada,1.0
276,03/10/2020,New York,173.0
277,03/10/2020,Ohio,3.0
278,03/10/2020,Oklahoma,2.0
279,03/10/2020,Oregon,15.0
280,03/10/2020,Pennsylvania,12.0
281,03/10/2020,Rhode Island,3.0
282,03/10/2020,South Carolina,7.0
283,03/10/2020,South Dakota,0.0
284,03/10/2020,Tennessee,7.0
285,03/10/2020,Texas,13.0
286,03/10/2020,Utah,2.0
287,03/10/2020,Virginia,8.0
288,03/10/2020,Vermont,1.0
289,03/10/2020,Washington,390.0
290,03/10/2020,Wisconsin,2.0
291,03/10/2020,West Virginia,0.0
292,03/10/2020,Wyoming,0.0
293,03/11/2020,Alaska,0.0
294,03/11/2020,Alabama,0.0
295,03/11/2020,Arkansas,0.0
296,03/11/2020,Arizona,9.0
297,03/11/2020,California,157.0
298,03/11/2020,Colorado,28.0
299,03/11/2020,Connecticut,3.0
300,03/11/2020,District of Columbia,5.0
301,03/11/2020,Delaware,1.0
302,03/11/2020,Florida,28.0
303,03/11/2020,Georgia,22.0
304,03/11/2020,Hawaii,2.0
305,03/11/2020,Iowa,13.0
306,03/11/2020,Idaho,0.0
307,03/11/2020,Illinois,19.0
308,03/11/2020,Indiana,10.0
309,03/11/2020,Kansas,1.0
310,03/11/2020,Kentucky,8.0
311,03/11/2020,Louisiana,6.0
312,03/11/2020,Massachusetts,92.0
313,03/11/2020,Maryland,9.0
314,03/11/2020,Maine,0.0
315,03/11/2020,Michigan,497.0
316,03/11/2020,Minnesota,5.0
317,03/11/2020,Missouri,1.0
318,03/11/2020,Mississippi,0.0
319,03/11/2020,Montana,0.0
320,03/11/2020,North Carolina,7.0
321,03/11/2020,North Dakota,0.0
322,03/11/2020,Nebraska,5.0
323,03/11/2020,New Hampshire,4.0
324,03/11/2020,New Jersey,24.0
325,03/11/2020,New Mexico,3.0
326,03/11/2020,Nevada,5.0
327,03/11/2020,New York,216.0
328,03/11/2020,Ohio,4.0
329,03/11/2020,Oklahoma,2.0
330,03/11/2020,Oregon,19.0
331,03/11/2020,Pennsylvania,16.0
332,03/11/2020,Rhode Island,5.0
333,03/11/2020,South Carolina,9.0
334,03/11/2020,South Dakota,5.0
335,03/11/2020,Tennessee,7.0
336,03/11/2020,Texas,21.0
337,03/11/2020,Utah,2.0
338,03/11/2020,Virginia,9.0
339,03/11/2020,Vermont,1.0
340,03/11/2020,Washington,474.0
341,03/11/2020,Wisconsin,3.0
342,03/11/2020,West Virginia,0.0
343,03/11/2020,Wyoming,0.0
344,03/12/2020,Alaska,0.0
345,03/12/2020,Alabama,0.0
346,03/12/2020,Arkansas,6.0
347,03/12/2020,Arizona,9.0
348,03/12/2020,California,202.0
349,03/12/2020,Colorado,45.0
350,03/12/2020,Connecticut,6.0
351,03/12/2020,District of Columbia,10.0
352,03/12/2020,Delaware,4.0
353,03/12/2020,Florida,32.0
354,03/12/2020,Georgia,31.0
355,03/12/2020,Hawaii,2.0
356,03/12/2020,Iowa,14.0
357,03/12/2020,Idaho,0.0
358,03/12/2020,Illinois,25.0
359,03/12/2020,Indiana,12.0
360,03/12/2020,Kansas,4.0
361,03/12/2020,Kentucky,8.0
362,03/12/2020,Louisiana,14.0
363,03/12/2020,Massachusetts,95.0
364,03/12/2020,Maryland,12.0
365,03/12/2020,Maine,1.0
366,03/12/2020,Michigan,702.0
367,03/12/2020,Minnesota,9.0
368,03/12/2020,Missouri,1.0
369,03/12/2020,Mississippi,1.0
370,03/12/2020,Montana,1.0
371,03/12/2020,North Carolina,12.0
372,03/12/2020,North Dakota,1.0
373,03/12/2020,Nebraska,10.0
374,03/12/2020,New Hampshire,6.0
375,03/12/2020,New Jersey,30.0
376,03/12/2020,New Mexico,5.0
377,03/12/2020,Nevada,7.0
378,03/12/2020,New York,216.0
379,03/12/2020,Ohio,5.0
380,03/12/2020,Oklahoma,3.0
381,03/12/2020,Oregon,19.0
382,03/12/2020,Pennsylvania,22.0
383,03/12/2020,Rhode Island,5.0
384,03/12/2020,South Carolina,10.0
385,03/12/2020,South Dakota,8.0
386,03/12/2020,Tennessee,18.0
387,03/12/2020,Texas,23.0
388,03/12/2020,Utah,4.0
389,03/12/2020,Virginia,17.0
390,03/12/2020,Vermont,2.0
391,03/12/2020,Washington,543.0
392,03/12/2020,Wisconsin,8.0
393,03/12/2020,West Virginia,0.0
394,03/12/2020,Wyoming,1.0
395,03/13/2020,Alaska,1.0
396,03/13/2020,Alabama,1.0
397,03/13/2020,Arkansas,9.0
398,03/13/2020,Arizona,9.0
399,03/13/2020,California,202.0
400,03/13/2020,Colorado,72.0
401,03/13/2020,Connecticut,6.0
402,03/13/2020,District of Columbia,10.0
403,03/13/2020,Delaware,4.0
404,03/13/2020,Florida,50.0
405,03/13/2020,Georgia,42.0
406,03/13/2020,Hawaii,2.0
407,03/13/2020,Iowa,16.0
408,03/13/2020,Idaho,0.0
409,03/13/2020,Illinois,32.0
410,03/13/2020,Indiana,12.0
411,03/13/2020,Kansas,6.0
412,03/13/2020,Kentucky,11.0
413,03/13/2020,Louisiana,36.0
414,03/13/2020,Massachusetts,123.0
415,03/13/2020,Maryland,17.0
416,03/13/2020,Maine,3.0
417,03/13/2020,Michigan,945.0
418,03/13/2020,Minnesota,14.0
419,03/13/2020,Missouri,2.0
420,03/13/2020,Mississippi,4.0
421,03/13/2020,Montana,1.0
422,03/13/2020,North Carolina,15.0
423,03/13/2020,North Dakota,1.0
424,03/13/2020,Nebraska,13.0
425,03/13/2020,New Hampshire,6.0
426,03/13/2020,New Jersey,50.0
427,03/13/2020,New Mexico,10.0
428,03/13/2020,Nevada,11.0
429,03/13/2020,New York,421.0
430,03/13/2020,Ohio,13.0
431,03/13/2020,Oklahoma,3.0
432,03/13/2020,Oregon,30.0
433,03/13/2020,Pennsylvania,41.0
434,03/13/2020,Rhode Island,14.0
435,03/13/2020,South Carolina,12.0
436,03/13/2020,South Dakota,9.0
437,03/13/2020,Tennessee,26.0
438,03/13/2020,Texas,39.0
439,03/13/2020,Utah,6.0
440,03/13/2020,Virginia,30.0
441,03/13/2020,Vermont,2.0
442,03/13/2020,Washington,693.0
443,03/13/2020,Wisconsin,19.0
444,03/13/2020,West Virginia,0.0
445,03/13/2020,Wyoming,1.0
446,03/14/2020,Alaska,1.0
447,03/14/2020,Alabama,6.0
448,03/14/2020,Arkansas,12.0
449,03/14/2020,Arizona,12.0
450,03/14/2020,California,252.0
451,03/14/2020,Colorado,101.0
452,03/14/2020,Connecticut,11.0
453,03/14/2020,District of Columbia,10.0
454,03/14/2020,Delaware,6.0
455,03/14/2020,Florida,77.0
456,03/14/2020,Georgia,66.0
457,03/14/2020,Hawaii,2.0
458,03/14/2020,Iowa,17.0
459,03/14/2020,Idaho,2.0
460,03/14/2020,Illinois,46.0
461,03/14/2020,Indiana,15.0
462,03/14/2020,Kansas,6.0
463,03/14/2020,Kentucky,14.0
464,03/14/2020,Louisiana,69.0
465,03/14/2020,Massachusetts,138.0
466,03/14/2020,Maryland,26.0
467,03/14/2020,Maine,3.0
468,03/14/2020,Michigan,1196.0
469,03/14/2020,Minnesota,21.0
470,03/14/2020,Missouri,4.0
471,03/14/2020,Mississippi,6.0
472,03/14/2020,Montana,5.0
473,03/14/2020,North Carolina,23.0
474,03/14/2020,North Dakota,1.0
475,03/14/2020,Nebraska,14.0
476,03/14/2020,New Hampshire,7.0
477,03/14/2020,New Jersey,50.0
478,03/14/2020,New Mexico,10.0
479,03/14/2020,Nevada,20.0
480,03/14/2020,New York,524.0
481,03/14/2020,Ohio,13.0
482,03/14/2020,Oklahoma,4.0
483,03/14/2020,Oregon,30.0
484,03/14/2020,Pennsylvania,47.0
485,03/14/2020,Rhode Island,20.0
486,03/14/2020,South Carolina,13.0
487,03/14/2020,South Dakota,9.0
488,03/14/2020,Tennessee,32.0
489,03/14/2020,Texas,51.0
490,03/14/2020,Utah,6.0
491,03/14/2020,Virginia,30.0
492,03/14/2020,Vermont,4.0
493,03/14/2020,Washington,793.0
494,03/14/2020,Wisconsin,19.0
495,03/14/2020,West Virginia,0.0
496,03/14/2020,Wyoming,2.0
497,03/15/2020,Alaska,1.0
498,03/15/2020,Alabama,12.0
499,03/15/2020,Arkansas,16.0
500,03/15/2020,Arizona,12.0
501,03/15/2020,California,293.0
502,03/15/2020,Colorado,131.0
503,03/15/2020,Connecticut,20.0
504,03/15/2020,District of Columbia,16.0
505,03/15/2020,Delaware,6.0
506,03/15/2020,Florida,116.0
507,03/15/2020,Georgia,99.0
508,03/15/2020,Hawaii,2.0
509,03/15/2020,Iowa,18.0
510,03/15/2020,Idaho,5.0
511,03/15/2020,Illinois,64.0
512,03/15/2020,Indiana,19.0
513,03/15/2020,Kansas,8.0
514,03/15/2020,Kentucky,16.0
515,03/15/2020,Louisiana,91.0
516,03/15/2020,Massachusetts,138.0
517,03/15/2020,Maryland,31.0
518,03/15/2020,Maine,3.0
519,03/15/2020,Michigan,1480.0
520,03/15/2020,Minnesota,35.0
521,03/15/2020,Missouri,5.0
522,03/15/2020,Mississippi,10.0
523,03/15/2020,Montana,7.0
524,03/15/2020,North Carolina,32.0
525,03/15/2020,North Dakota,1.0
526,03/15/2020,Nebraska,17.0
527,03/15/2020,New Hampshire,13.0
528,03/15/2020,New Jersey,98.0
529,03/15/2020,New Mexico,13.0
530,03/15/2020,Nevada,21.0
531,03/15/2020,New York,729.0
532,03/15/2020,Ohio,36.0
533,03/15/2020,Oklahoma,9.0
534,03/15/2020,Oregon,36.0
535,03/15/2020,Pennsylvania,63.0
536,03/15/2020,Rhode Island,20.0
537,03/15/2020,South Carolina,19.0
538,03/15/2020,South Dakota,9.0
539,03/15/2020,Tennessee,39.0
540,03/15/2020,Texas,56.0
541,03/15/2020,Utah,28.0
542,03/15/2020,Virginia,45.0
543,03/15/2020,Vermont,4.0
544,03/15/2020,Washington,924.0
545,03/15/2020,Wisconsin,33.0
546,03/15/2020,West Virginia,0.0
547,03/15/2020,Wyoming,3.0
548,03/16/2020,Alaska,1.0
549,03/16/2020,Alabama,28.0
550,03/16/2020,Arkansas,22.0
551,03/16/2020,American Samoa,0.0
552,03/16/2020,Arizona,18.0
553,03/16/2020,California,335.0
554,03/16/2020,Colorado,131.0
555,03/16/2020,Connecticut,26.0
556,03/16/2020,District of Columbia,17.0
557,03/16/2020,Delaware,8.0
558,03/16/2020,Florida,141.0
559,03/16/2020,Georgia,121.0
560,03/16/2020,Guam,3.0
561,03/16/2020,Hawaii,7.0
562,03/16/2020,Iowa,22.0
563,03/16/2020,Idaho,5.0
564,03/16/2020,Illinois,93.0
565,03/16/2020,Indiana,24.0
566,03/16/2020,Kansas,11.0
567,03/16/2020,Kentucky,21.0
568,03/16/2020,Louisiana,114.0
569,03/16/2020,Massachusetts,164.0
570,03/16/2020,Maryland,37.0
571,03/16/2020,Maine,17.0
572,03/16/2020,Michigan,1933.0
573,03/16/2020,Minnesota,54.0
574,03/16/2020,Missouri,6.0
575,03/16/2020,Northern Mariana Islands,0.0
576,03/16/2020,Mississippi,12.0
577,03/16/2020,Montana,7.0
578,03/16/2020,North Carolina,33.0
579,03/16/2020,North Dakota,1.0
580,03/16/2020,Nebraska,18.0
581,03/16/2020,New Hampshire,13.0
582,03/16/2020,New Jersey,178.0
583,03/16/2020,New Mexico,17.0
584,03/16/2020,Nevada,45.0
585,03/16/2020,New York,950.0
586,03/16/2020,Ohio,50.0
587,03/16/2020,Oklahoma,10.0
588,03/16/2020,Oregon,39.0
589,03/16/2020,Pennsylvania,76.0
590,03/16/2020,Puerto Rico,5.0
591,03/16/2020,Rhode Island,21.0
592,03/16/2020,South Carolina,28.0
593,03/16/2020,South Dakota,10.0
594,03/16/2020,Tennessee,52.0
595,03/16/2020,Texas,57.0
596,03/16/2020,Utah,39.0
597,03/16/2020,Virginia,51.0
598,03/16/2020,Virgin Islands,1.0
599,03/16/2020,Vermont,8.0
600,03/16/2020,Washington,1052.0
601,03/16/2020,Wisconsin,47.0
602,03/16/2020,West Virginia,0.0
603,03/16/2020,Wyoming,3.0
604,03/17/2020,Alaska,3.0
605,03/17/2020,Alabama,36.0
606,03/17/2020,Arkansas,22.0
607,03/17/2020,American Samoa,0.0
608,03/17/2020,Arizona,20.0
609,03/17/2020,California,483.0
610,03/17/2020,Colorado,160.0
611,03/17/2020,Connecticut,41.0
612,03/17/2020,District of Columbia,22.0
613,03/17/2020,Delaware,16.0
614,03/17/2020,Florida,186.0
615,03/17/2020,Georgia,146.0
616,03/17/2020,Guam,5.0
617,03/17/2020,Hawaii,10.0
618,03/17/2020,Iowa,23.0
619,03/17/2020,Idaho,7.0
620,03/17/2020,Illinois,159.0
621,03/17/2020,Indiana,30.0
622,03/17/2020,Kansas,15.0
623,03/17/2020,Kentucky,22.0
624,03/17/2020,Louisiana,171.0
625,03/17/2020,Massachusetts,218.0
626,03/17/2020,Maryland,57.0
627,03/17/2020,Maine,32.0
628,03/17/2020,Michigan,2393.0
